date,tradePrice,change,changePrice,accTradeVolume,accTradePrice,individualStraightPurchasePrice,foreignStraightPurchasePrice,institutionStraightPurchasePrice
2019-03-06 00:00:00,2175.6,FALL,3.63,328943,4828088,65444620090,5960479949,-53182364884
2019-03-05 00:00:00,2179.23,FALL,11.43,313145,4980940,244352695932,-157017695710,-91932649815
2019-03-04 00:00:00,2190.66,FALL,4.78,373166,6405237,40328329456,-131953894891,76676527211
2019-02-28 00:00:00,2195.44,FALL,39.35,510022,8307295,-61784182288,-253615330622,316907947344
2019-02-27 00:00:00,2234.79,RISE,8.19,301513,4914612,-111560459992,-57281941122,151857839470
2019-02-26 00:00:00,2226.6,FALL,5.96,331962,5024237,-29933232288,52587149454,-11130391018
2019-02-25 00:00:00,2232.56,RISE,2.06,339233,4689860,9115915650,-79616430722,80275227515
2019-02-22 00:00:00,2230.5,RISE,1.84,409310,4645184,-34206063862,-4489698991,40129915874
2019-02-21 00:00:00,2228.66,FALL,1.1,382510,5480909,-11715660173,208350642084,-204832647512
2019-02-20 00:00:00,2229.76,RISE,24.13,374342,5948416,-430005578127,434537456972,-7622944609
2019-02-19 00:00:00,2205.63,FALL,5.26,389093,4534559,-138825492949,-7595622702,141943794647
2019-02-18 00:00:00,2210.89,RISE,14.8,314370,4668186,-324089726464,45572631937,266392639430
2019-02-15 00:00:00,2196.09,FALL,29.76,400591,5097630,198483974390,-177735141507,-44941294626
2019-02-14 00:00:00,2225.85,RISE,24.37,573362,6426022,-192622047092,-47598481932,242683671125
2019-02-13 00:00:00,2201.48,RISE,11.01,421989,5585494,-126050958059,-30643242333,134305305447
2019-02-12 00:00:00,2190.47,RISE,9.74,429940,5929463,-14710983697,-37530351094,46887464654
2019-02-11 00:00:00,2180.73,RISE,3.68,406059,5327610,115581612435,-57340663493,-73260074148
2019-02-08 00:00:00,2177.05,FALL,26.37,391029,5728529,331271999382,-280259032809,-72546332158
